symbol,exchange,organ_name,industry
VIP,HSX,Công ty Cổ phần Vận tải Xăng dầu VIPCO,Hàng & Dịch vụ Công nghiệp
VIG,HNX,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,Dịch vụ tài chính
VIF,HNX,Tổng Công ty Lâm nghiệp Việt Nam - Công ty Cổ phần,Tài nguyên Cơ bản
VID,HSX,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông,Tài nguyên Cơ bản
VIC,HSX,Tập đoàn Vingroup - Công ty CP,Bất động sản
VIB,HSX,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng
VHM,HSX,Công ty Cổ phần Vinhomes,Bất động sản
VHL,HNX,Công ty Cổ phần Viglacera Hạ Long,Xây dựng và Vật liệu
VHE,HNX,Công ty Cổ phần Dược liệu và Thực phẩm Việt Nam,Y tế
VHC,HSX,Công ty Cổ phần Vĩnh Hoàn,Thực phẩm và đồ uống
VGS,HNX,Công ty Cổ phần Ống thép Việt - Đức VG PIPE,Tài nguyên Cơ bản
VGP,HNX,Công ty Cổ phần Cảng Rau Quả,Hàng & Dịch vụ Công nghiệp
VGC,HSX,Tổng Công ty Viglacera - Công ty Cổ phần,Xây dựng và Vật liệu
VFS,HNX,Công ty Cổ phần Chứng khoán Nhất Việt,Dịch vụ tài chính
VFG,HSX,Công ty Cổ phần Khử trùng Việt Nam,Hóa chất
VE4,HNX,Công ty Cổ phần Xây dựng điện VNECO4,Xây dựng và Vật liệu
VE3,HNX,Công ty Cổ phần Xây dựng điện VNECO 3,Xây dựng và Vật liệu
VE1,HNX,Công ty Cổ phần Xây dựng điện VNECO 1,Xây dựng và Vật liệu
VDS,HSX,Công ty Cổ phần Chứng khoán Rồng Việt,Dịch vụ tài chính
VDP,HSX,Công ty Cổ phần Dược phẩm Trung ương VIDIPHA,Y tế
VDL,HNX,Công ty Cổ phần Thực phẩm Lâm Đồng,Thực phẩm và đồ uống
VCS,HNX,Công ty Cổ phần VICOSTONE,Xây dựng và Vật liệu
VCM,HNX,Công ty Cổ phần BV Life,Hàng & Dịch vụ Công nghiệp
VCI,HSX,Công ty Cổ phần Chứng khoán Vietcap,Dịch vụ tài chính
VCG,HSX,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Xây dựng và Vật liệu
VCF,HSX,Công ty Cổ phần VinaCafé Biên Hòa,Thực phẩm và đồ uống
VCC,HNX,Công ty Cổ phần Vinaconex 25,Xây dựng và Vật liệu
VCB,HSX,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng
VCA,HSX,Công ty Cổ phần Thép VICASA - VNSTEEL,Tài nguyên Cơ bản
VC9,HNX,Công ty Cổ phần Xây dựng số 9 - VC9,Xây dựng và Vật liệu
VC7,HNX,Công ty Cổ phần Tập đoàn BGI,Xây dựng và Vật liệu
VC6,HNX,Công ty cổ phần Xây dựng và Đầu tư Visicons,Xây dựng và Vật liệu
VC3,HNX,Công ty Cổ phần Tập đoàn Nam Mê Kông,Bất động sản
VC2,HNX,Công ty Cổ phần Đầu tư và Xây dựng VINA2,Xây dựng và Vật liệu
VC1,HNX,Công ty Cổ phần Xây dựng số 1,Xây dựng và Vật liệu
VBC,HNX,"Công ty Cổ phần Nhựa, Bao bì Vinh",Hàng & Dịch vụ Công nghiệp
VAF,HSX,Công ty Cổ phần Phân lân nung chảy Văn Điển,Hóa chất
VAB,HSX,Ngân hàng Thương mại Cổ phần Việt Á,Ngân hàng
V21,HNX,Công ty Cổ phần Vinaconex 21,Bất động sản
V12,HNX,Công ty Cổ phần Xây dựng số 12,Xây dựng và Vật liệu
UNI,HNX,Công ty Cổ phần Đầu tư và Phát triển Sao Mai Việt,Công nghệ Thông tin
UIC,HSX,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị IDICO,"Điện, nước & xăng dầu khí đốt"
TYA,HSX,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam,Hàng & Dịch vụ Công nghiệp
TXM,HNX,Công ty Cổ phần VICEM Thạch cao Xi Măng,Xây dựng và Vật liệu
TVT,HSX,Tổng Công ty Việt Thắng - CTCP,Hàng cá nhân & Gia dụng
TVS,HSX,Công ty Cổ phần Chứng khoán Thiên Việt,Dịch vụ tài chính
TVD,HNX,Công ty Cổ phần Than Vàng Danh - Vinacomin,Tài nguyên Cơ bản
TVC,HNX,Công ty Cổ phần Tập đoàn Quản lý Tài sản Trí Việt,Dịch vụ tài chính
TVB,HSX,Công ty Cổ phần Chứng khoán Trí Việt,Dịch vụ tài chính
TV4,HNX,Công ty Cổ phần Tư vấn Xây dựng Điện 4,Hàng & Dịch vụ Công nghiệp
TV3,HNX,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Xây dựng và Vật liệu
TV2,HSX,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Hàng & Dịch vụ Công nghiệp
TTT,HNX,Công ty Cổ phần Du Lịch - Thương Mại Tây Ninh,Du lịch và Giải trí
TTL,HNX,Tổng Công ty Thăng Long - Công ty Cổ phần,Xây dựng và Vật liệu
TTH,HNX,Công ty Cổ phần Thương mại và Dịch vụ Tiến Thành,Tài nguyên Cơ bản
TTF,HSX,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,Tài nguyên Cơ bản
TTE,HSX,Công ty Cổ phần Đầu tư Năng lượng Trường Thịnh,"Điện, nước & xăng dầu khí đốt"
TTC,HNX,Công ty Cổ phần Gạch men Thanh Thanh,Xây dựng và Vật liệu
TTA,HSX,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,"Điện, nước & xăng dầu khí đốt"
TSC,HSX,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Hóa chất
TSB,HNX,Công ty Cổ phần Ắc quy Tia Sáng,Hàng & Dịch vụ Công nghiệp
TRC,HSX,Công ty Cổ phần Cao su Tây Ninh,Hóa chất
TRA,HSX,Công ty Cổ phần Traphaco,Y tế
TPP,HNX,Công ty Cổ phần Tân Phú Việt Nam,Hàng & Dịch vụ Công nghiệp
TPC,HSX,Công ty Cổ phần Nhựa Tân Đại Hưng,Hóa chất
TPB,HSX,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng
TOT,HNX,Công ty Cổ phần Transimex Logistics,Hàng & Dịch vụ Công nghiệp
TNT,HSX,Công ty Cổ phần Tập đoàn TNT,Tài nguyên Cơ bản
TNI,HSX,Công ty Cổ phần Tập đoàn Thành Nam,Tài nguyên Cơ bản
TNH,HSX,Công ty Cổ phần Tập đoàn Bệnh viện TNH,Y tế
TNG,HNX,Công ty Cổ phần Đầu tư và Thương mại TNG,Hàng cá nhân & Gia dụng
TNC,HSX,Công ty Cổ phần Cao su Thống Nhất,Hóa chất
TN1,HSX,Công ty Cổ phần Rox Key Holdings,Bất động sản
TMX,HNX,Công ty Cổ phần VICEM Thương mại Xi măng,Xây dựng và Vật liệu
TMT,HSX,Công ty Cổ phần Ô tô TMT,Ô tô và phụ tùng
TMS,HSX,Công ty Cổ phần Transimex,Hàng & Dịch vụ Công nghiệp
TMP,HSX,Công ty Cổ phần Thủy điện Thác Mơ,"Điện, nước & xăng dầu khí đốt"
TMC,HNX,Công ty Cổ phần Thương mại Xuất nhập khẩu Thủ Đức,"Điện, nước & xăng dầu khí đốt"
TMB,HNX,Công ty Cổ phần Kinh doanh Than Miền Bắc - Vinacomin,Tài nguyên Cơ bản
TLH,HSX,Công ty Cổ phần Tập đoàn Thép Tiến Lên,Tài nguyên Cơ bản
TLG,HSX,Công ty Cổ phần Tập đoàn Thiên Long,Hàng cá nhân & Gia dụng
TLD,HSX,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,Bất động sản
TKU,HNX,Công ty Cổ phần Công nghiệp Tung Kuang,Tài nguyên Cơ bản
TJC,HNX,Công ty Cổ phần Dịch vụ Vận tải và Thương mại,Hàng & Dịch vụ Công nghiệp
TIX,HSX,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,Bất động sản
TIP,HSX,Công ty Cổ phần Phát triển Khu công nghiệp Tín Nghĩa,Bất động sản
TIG,HNX,Công ty Cổ phần Tập đoàn Đầu tư Thăng Long,Bất động sản
THT,HNX,Công ty Cổ phần Than Hà Tu - Vinacomin,Tài nguyên Cơ bản
THS,HNX,Công ty Cổ phần Thanh Hoa Sông Đà,Bán lẻ
THG,HSX,Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang,Xây dựng và Vật liệu
THD,HNX,Công ty Cổ phần Thaiholdings,Bất động sản
THB,HNX,Công ty Cổ phần Bia Hà Nội - Thanh Hóa,Thực phẩm và đồ uống
TFC,HNX,Công ty Cổ phần Trang,Thực phẩm và đồ uống
TET,HNX,Công ty Cổ phần Vải sợi May mặc Miền Bắc,Hàng cá nhân & Gia dụng
TEG,HSX,Công ty Cổ phần Năng Lượng và Bất động sản Trường Thành,Bất động sản
TDW,HSX,Công ty Cổ phần Cấp nước Thủ Đức,"Điện, nước & xăng dầu khí đốt"
TDT,HNX,Công ty Cổ phần Đầu tư và Phát triển TDT,Hàng cá nhân & Gia dụng
TDP,HSX,Công ty Cổ phần Thuận Đức,Hàng & Dịch vụ Công nghiệp
TDM,HSX,Công ty Cổ phần Nước Thủ Dầu Một,"Điện, nước & xăng dầu khí đốt"
TDH,HSX,Công ty Cổ phần Phát triển Nhà Thủ Đức,Bất động sản
TDG,HSX,Công ty Cổ phần Đầu tư TDG Global,"Điện, nước & xăng dầu khí đốt"
TDC,HSX,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Bất động sản
TD6,HNX,Công ty Cổ Phần Than Đèo Nai - Cọc Sáu - TKV,Tài nguyên Cơ bản
TCT,HSX,Công ty Cổ phần Cáp treo Núi Bà Tây Ninh,Du lịch và Giải trí
TCR,HSX,Công ty Cổ phần Công nghiệp Gốm sứ TAICERA,Xây dựng và Vật liệu
TCO,HSX,Công ty Cổ phần TCO Holdings,Thực phẩm và đồ uống
TCM,HSX,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công,Hàng cá nhân & Gia dụng
TCL,HSX,Công ty Cổ phần Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,Hàng & Dịch vụ Công nghiệp
TCI,HSX,Công ty Cổ phần Chứng khoán Thành Công,Dịch vụ tài chính
TCH,HSX,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Bất động sản
TCD,HSX,Công ty cổ phần Tập đoàn Xây dựng Tracodi,Xây dựng và Vật liệu
TCB,HSX,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Ngân hàng
TBX,HNX,Công ty Cổ phần Xi măng Thái Bình,Xây dựng và Vật liệu
TBC,HSX,Công ty Cổ phần Thủy điện Thác Bà,"Điện, nước & xăng dầu khí đốt"
TAL,HSX,Công Ty Cổ Phần Đầu Tư Bất Động Sản Taseco,Bất động sản
TA9,HNX,Công ty Cổ phần Xây lắp Thành An 96,Xây dựng và Vật liệu
SZL,HSX,Công ty Cổ phần Sonadezi Long Thành,Bất động sản
SZC,HSX,Công ty Cổ phần Sonadezi Châu Đức,Bất động sản
SZB,HNX,Công ty Cổ phần Sonadezi Long Bình,Bất động sản
SVT,HSX,Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông,Bán lẻ
SVN,HNX,Công ty Cổ phần Tập đoàn Vexilla Việt Nam,Xây dựng và Vật liệu
SVI,HSX,Công ty Cổ phần Bao bì Biên Hòa,Hàng & Dịch vụ Công nghiệp
SVD,HSX,Công ty Cổ phần Đầu tư & Thương mại Vũ Đăng,Hàng cá nhân & Gia dụng
SVC,HSX,Công ty Cổ phần Dịch vụ tổng hợp Sài Gòn,Ô tô và phụ tùng
STP,HNX,Công ty Cổ phần Công nghiệp Thương mại Sông Đà,Hàng & Dịch vụ Công nghiệp
STK,HSX,Công ty Cổ phần Sợi Thế Kỷ,Hàng cá nhân & Gia dụng
STG,HSX,Công ty Cổ phần Kho Vận Miền Nam,Hàng & Dịch vụ Công nghiệp
STC,HNX,Công ty Cổ phần Sách và Thiết bị trường học Thành phố Hồ Chí Minh,Truyền thông
STB,HSX,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,Ngân hàng
ST8,HSX,Công ty Cổ phần Tập đoàn ST8,Công nghệ Thông tin
SSM,HNX,Công ty Cổ phần Chế tạo kết cấu thép VNECO.SSM,Tài nguyên Cơ bản
SSI,HSX,Công ty Cổ phần Chứng khoán SSI,Dịch vụ tài chính
SSC,HSX,Công ty Cổ phần Giống cây trồng Miền Nam,Thực phẩm và đồ uống
SSB,HSX,Ngân hàng Thương mại Cổ phần Đông Nam Á,Ngân hàng
SRF,HSX,Công ty Cổ phần Searefico,Hàng & Dịch vụ Công nghiệp
SRC,HSX,Công ty Cổ phần Cao su Sao Vàng,Ô tô và phụ tùng
SRA,HNX,Công ty Cổ phần SARA Việt Nam,Công nghệ Thông tin
SPM,HSX,Công ty Cổ phần S.P.M,Y tế
SPC,HNX,Công ty Cổ phần Bảo vệ Thực vật Sài Gòn,Hóa chất
SMT,HNX,Công ty Cổ phần SAMETEL,Công nghệ Thông tin
SMN,HNX,Công ty Cổ phần Sách và thiết bị giáo dục Miền Nam,Truyền thông
SMC,HSX,Công ty Cổ phần Đầu tư Thương mại SMC,Tài nguyên Cơ bản
SMB,HSX,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Thực phẩm và đồ uống
SMA,HSX,Công ty Cổ phần Thiết bị Phụ tùng Sài Gòn,"Điện, nước & xăng dầu khí đốt"
SLS,HNX,Công ty Cổ phần Mía đường Sơn La,Thực phẩm và đồ uống
SKG,HSX,Công ty Cổ phần Tàu Cao tốc Superdong - Kiên Giang,Du lịch và Giải trí
SJS,HSX,Công ty Cổ phần SJ Group,Bất động sản
SJE,HNX,Công ty Cổ phần Sông Đà 11,Xây dựng và Vật liệu
SJD,HSX,Công ty Cổ phần Thủy điện Cần Đơn,"Điện, nước & xăng dầu khí đốt"
SJ1,HNX,Công ty Cổ phần Nông nghiệp Hùng Hậu,Thực phẩm và đồ uống
SIP,HSX,Công ty Cổ phần Đầu tư Sài Gòn VRG,Bất động sản
SHS,HNX,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội,Dịch vụ tài chính
SHP,HSX,Công ty Cổ phần Thủy điện Miền Nam,"Điện, nước & xăng dầu khí đốt"
SHN,HNX,Công ty Cổ phần Đầu tư Tổng hợp Hà Nội,Tài nguyên Cơ bản
SHI,HSX,Công ty Cổ phần Quốc tế Sơn Hà,Tài nguyên Cơ bản
SHE,HNX,Công ty Cổ phần Phát triển Năng Lượng Sơn Hà,Hàng cá nhân & Gia dụng
SHB,HSX,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,Ngân hàng
SHA,HSX,Công ty Cổ phần Sơn Hà Sài Gòn,Tài nguyên Cơ bản
SGT,HSX,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công nghệ Thông tin
SGR,HSX,Công ty Cổ phần Tổng Công ty Cổ phần Địa ốc Sài Gòn,Bất động sản
SGN,HSX,Công ty Cổ phần Phục vụ mặt đất Sài Gòn,Hàng & Dịch vụ Công nghiệp
SGH,HNX,Công ty Cổ phần Khách sạn Sài Gòn,Du lịch và Giải trí
SGD,HNX,Công ty Cổ phần Sách Giáo dục tại Thành phố Hồ Chí Minh,Truyền thông
SGC,HNX,Công ty Cổ phần Xuất nhập khẩu Sa Giang,Thực phẩm và đồ uống
SFN,HNX,Công ty Cổ phần Dệt lưới Sài Gòn,Hàng & Dịch vụ Công nghiệp
SFI,HSX,Công ty Cổ phần Đại lý Vận tải SAFI,Hàng & Dịch vụ Công nghiệp
SFG,HSX,Công ty Cổ phần Phân bón Miền Nam,Hóa chất
SFC,HSX,Công ty Cổ phần Nhiên liệu Sài Gòn,"Điện, nước & xăng dầu khí đốt"
SED,HNX,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Phương Nam,Truyền thông
SEB,HNX,Công ty Cổ phần Đầu tư và Phát triển Điện Miền Trung,"Điện, nước & xăng dầu khí đốt"
SDU,HNX,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,Xây dựng và Vật liệu
SDN,HNX,Công ty Cổ phần Sơn Đồng Nai,Xây dựng và Vật liệu
SDG,HNX,Công ty Cổ phần Sadico Cần Thơ,Hàng & Dịch vụ Công nghiệp
SDC,HNX,Công ty Cổ phần Tư vấn Sông Đà,Hàng & Dịch vụ Công nghiệp
SDA,HNX,Công ty Cổ phần SIMCO Sông Đà,Hàng & Dịch vụ Công nghiệp
SD9,HNX,Công ty Cổ phần Sông Đà 9,Xây dựng và Vật liệu
SD5,HNX,Công ty Cổ phần Sông Đà 5,Xây dựng và Vật liệu
SCS,HSX,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,Du lịch và Giải trí
SCR,HSX,Công ty Cổ phần Địa Ốc Sài Gòn Thương Tín,Bất động sản
SCI,HNX,Công ty Cổ phần SCI E&C,Xây dựng và Vật liệu
SCG,HNX,Công ty Cổ phần Tập đoàn Xây dựng SCG,Xây dựng và Vật liệu
SC5,HSX,Công ty Cổ phần Xây dựng số 5,Xây dựng và Vật liệu
SBV,HSX,Công ty Cổ phần Siam Brothers Việt Nam,Bán lẻ
SBT,HSX,Công ty Cổ phần Thành Thành Công - Biên Hòa,Thực phẩm và đồ uống
SBG,HSX,Công ty Cổ Phần Tập Đoàn Cơ Khí Công Nghệ Cao Siba,Hàng & Dịch vụ Công nghiệp
SBA,HSX,Công ty Cổ phần Sông Ba,"Điện, nước & xăng dầu khí đốt"
SAV,HSX,Công ty Cổ phần Hợp tác Kinh tế và Xuất nhập khẩu Savimex,Tài nguyên Cơ bản
SAM,HSX,Công ty Cổ phần SAM Holdings,Công nghệ Thông tin
SAF,HNX,Công ty Cổ phần Lương thực Thực phẩm SAFOCO,Thực phẩm và đồ uống
SAB,HSX,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn,Thực phẩm và đồ uống
S99,HNX,Công ty Cổ phần SCI,Xây dựng và Vật liệu
S55,HNX,Công ty Cổ phần Sông Đà 505,Xây dựng và Vật liệu
S4A,HSX,Công ty Cổ phần Thủy điện Sê San 4A,"Điện, nước & xăng dầu khí đốt"
RYG,HSX,Công ty Cổ phần Sản xuất và Đầu tư Hoàng Gia,Xây dựng và Vật liệu
REE,HSX,Công ty Cổ phần Cơ điện Lạnh,"Điện, nước & xăng dầu khí đốt"
RCL,HNX,Công ty Cổ phần Địa ốc Chợ Lớn,Bất động sản
RAL,HSX,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông,Hàng cá nhân & Gia dụng
QTC,HNX,Công ty Cổ phần Công trình Giao thông Vận tải Quảng Nam,Xây dựng và Vật liệu
QST,HNX,Công ty Cổ phần Sách và Thiết bị trường học Quảng Ninh,Truyền thông
QNP,HSX,Công ty Cổ phần Cảng Quy Nhơn,Hàng & Dịch vụ Công nghiệp
QHD,HNX,Công ty Cổ phần Que hàn điện Việt Đức,Hàng & Dịch vụ Công nghiệp
QCG,HSX,Công ty Cổ phần Quốc Cường Gia Lai,Bất động sản
PVT,HSX,Tổng Công ty Cổ phần Vận tải Dầu khí,Hàng & Dịch vụ Công nghiệp
PVS,HNX,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Dầu khí
PVP,HSX,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Hàng & Dịch vụ Công nghiệp
PVI,HNX,Công ty Cổ phần PVI,Bảo hiểm
PVG,HNX,Công ty Cổ phần Kinh doanh LPG Việt Nam,"Điện, nước & xăng dầu khí đốt"
PVD,HSX,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,Dầu khí
PVC,HNX,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - Công ty Cổ phần,Dầu khí
PVB,HNX,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Dầu khí
PV2,HNX,Công ty Cổ phần Đầu tư PV2,Bất động sản
PTX,HNX,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,"Điện, nước & xăng dầu khí đốt"
PTS,HNX,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,Hàng & Dịch vụ Công nghiệp
PTL,HSX,Công ty Cổ phần Victory Group,Bất động sản
PTI,HNX,Tổng Công ty Cổ phần Bảo hiểm Bưu điện,Bảo hiểm
PTD,HNX,Công ty Cổ phần Thiết kế - Xây dựng - Thương mại Phúc Thịnh,Xây dựng và Vật liệu
PTC,HSX,Công ty Cổ phần Đầu tư ICAPITAL,Xây dựng và Vật liệu
PTB,HSX,Công ty Cổ phần Phú Tài,Tài nguyên Cơ bản
PSW,HNX,Công ty Cổ phần Phân bón và hóa chất dầu khí Tây Nam Bộ,Hóa chất
PSI,HNX,Công ty Cổ phần Chứng khoán Dầu khí,Dịch vụ tài chính
PSE,HNX,Công ty Cổ phần Phân bón và hóa chất dầu khí Đông Nam Bộ,Hóa chất
PSD,HNX,Công ty Cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí,Bán lẻ
PSC,HNX,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Sài Gòn,Hàng & Dịch vụ Công nghiệp
PRE,HNX,Tổng Công ty Cổ phần Tái bảo hiểm Hà Nội,Bảo hiểm
PRC,HNX,Công ty Cổ phần Logistics Portserco,Hàng & Dịch vụ Công nghiệp
PPY,HNX,Công ty Cổ phần Xăng dầu dầu khí Phú Yên,"Điện, nước & xăng dầu khí đốt"
PPT,HNX,Công ty cổ phần Petro Times,"Điện, nước & xăng dầu khí đốt"
PPS,HNX,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Hàng & Dịch vụ Công nghiệp
PPP,HNX,Công ty Cổ phần Dược phẩm Phong Phú,Y tế
PPE,HNX,Công ty Cổ phần Tư vấn Đầu tư PP Enterprise,Hàng & Dịch vụ Công nghiệp
PPC,HSX,Công ty Cổ phần Nhiệt điện Phả Lại,"Điện, nước & xăng dầu khí đốt"
POW,HSX,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,"Điện, nước & xăng dầu khí đốt"
POT,HNX,Công ty Cổ phần Thiết bị Bưu điện,Công nghệ Thông tin
PNJ,HSX,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Hàng cá nhân & Gia dụng
PNC,HSX,Công ty Cổ phần Văn hóa Phương Nam,Truyền thông
PMS,HNX,Công ty Cổ phần Cơ khí Xăng dầu,Hàng & Dịch vụ Công nghiệp
PMP,HNX,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Hàng & Dịch vụ Công nghiệp
PMG,HSX,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,"Điện, nước & xăng dầu khí đốt"
PMC,HNX,Công ty Cổ phần Dược phẩm Dược liệu Pharmedic,Y tế
PMB,HNX,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Hóa chất
PLX,HSX,Tập đoàn Xăng dầu Việt Nam,Dầu khí
PLP,HSX,Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê,Hóa chất
PLC,HNX,Tổng Công ty Hóa dầu Petrolimex - Công ty Cổ phần,Hóa chất
PJT,HSX,Công ty Cổ phần Vận tải Xăng dầu đường thủy Petrolimex,Hàng & Dịch vụ Công nghiệp
PJC,HNX,Công ty Cổ phần Thương mại và Vận tải Petrolimex Hà Nội,"Điện, nước & xăng dầu khí đốt"
PIT,HSX,Công ty Cổ phần Xuất nhập khẩu Petrolimex,Bán lẻ
PIC,HNX,Công ty Cổ phần Đầu tư Điện lực 3,"Điện, nước & xăng dầu khí đốt"
PIA,HNX,Công ty Cổ phần Tin học Viễn thông Petrolimex,Viễn thông
PHR,HSX,Công ty Cổ phần Cao su Phước Hòa,Hóa chất
PHN,HNX,Công ty Cổ phần Pin Hà Nội,Hàng & Dịch vụ Công nghiệp
PHC,HSX,Công ty Cổ phần Xây dựng Phục Hưng Holdings,Xây dựng và Vật liệu
PGV,HSX,Tổng Công ty Phát điện 3 - Công ty Cổ phần,"Điện, nước & xăng dầu khí đốt"
PGT,HNX,Công ty Cổ phần PGT Holdings,Du lịch và Giải trí
PGS,HNX,Công ty Cổ phần Kinh doanh Khí Miền Nam,"Điện, nước & xăng dầu khí đốt"
PGN,HNX,Công ty Cổ phần Phụ Gia Nhựa,Hóa chất
PGI,HSX,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Bảo hiểm
PGD,HSX,Công ty Cổ phần Phân phối khí thấp áp dầu khí Việt Nam,"Điện, nước & xăng dầu khí đốt"
PGC,HSX,Tổng Công ty Gas Petrolimex - Công ty Cổ phần,"Điện, nước & xăng dầu khí đốt"
PET,HSX,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Bán lẻ
PEN,HNX,Công ty Cổ phần Xây lắp III Petrolimex,Xây dựng và Vật liệu
PDR,HSX,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,Bất động sản
PDN,HSX,Công ty Cổ phần Cảng Đồng Nai,Hàng & Dịch vụ Công nghiệp
PDB,HNX,Công ty Cổ phần Tập đoàn Đầu tư DIN Capital,Xây dựng và Vật liệu
PCT,HNX,Công ty Cổ phần Vận tải Biển Global Pacific,Hàng & Dịch vụ Công nghiệp
PCH,HNX,Công ty Cổ phần Nhựa Picomat,Hóa chất
PCE,HNX,Công ty Cổ phần Phân bón và hóa chất dầu khí Miền Trung,Hóa chất
PC1,HSX,Công ty Cổ phần Tập đoàn PC1,Xây dựng và Vật liệu
PBP,HNX,Công ty Cổ phần Bao bì Dầu khí Việt Nam,Hàng & Dịch vụ Công nghiệp
PAN,HSX,Công ty Cổ phần Tập đoàn PAN,Thực phẩm và đồ uống
PAC,HSX,Công ty Cổ phần Pin Ắc quy Miền Nam,Hàng & Dịch vụ Công nghiệp
ORS,HSX,Công ty Cổ phần Chứng khoán Tiên Phong,Dịch vụ tài chính
OPC,HSX,Công ty Cổ phần Dược Phẩm OPC,Y tế
ONE,HNX,Công ty Cổ phần Công nghệ ONE,Công nghệ Thông tin
OGC,HSX,Công ty Cổ phần Tập đoàn Đại Dương,Dịch vụ tài chính
OCH,HNX,Công ty Cổ phần One Capital Hospitality,Thực phẩm và đồ uống
OCB,HSX,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng
NVT,HSX,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,Bất động sản
NVL,HSX,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,Bất động sản
NVB,HNX,Ngân hàng Thương mại Cổ phần Quốc Dân,Ngân hàng
NTP,HNX,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong,Xây dựng và Vật liệu
NTL,HSX,Công ty Cổ phần Phát triển Đô thị Từ Liêm,Bất động sản
NTH,HNX,Công ty Cổ phần Thủy điện Nước Trong,"Điện, nước & xăng dầu khí đốt"
NT2,HSX,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,"Điện, nước & xăng dầu khí đốt"
NST,HNX,Công ty Cổ phần Ngân Sơn,Hàng cá nhân & Gia dụng
NSH,HNX,Công ty Cổ phần Tập đoàn Nhôm Sông Hồng Shalumi,Tài nguyên Cơ bản
NSC,HSX,Công ty Cổ phần Tập đoàn Giống cây trồng Việt Nam,Thực phẩm và đồ uống
NRC,HNX,Công ty Cổ phần Tập đoàn Danh Khôi,Bất động sản
NO1,HSX,Công ty Cổ phần Tâp đoàn 911,Hàng & Dịch vụ Công nghiệp
NNC,HSX,Công ty Cổ phần Đá Núi Nhỏ,Xây dựng và Vật liệu
